# DATE-BEG = 2012-05-13T20:56:15
# DATE-END = 2019-07-05T11:18:17
# DOI = 10.17909/g37r-1r51
# HLSPID = BOOCATS
# HLSPNAME = HST Photometry and Astrometry of the Bootes I Ultrafaint Dwarf Galaxy
# HLSPLEAD = Carrie Filion
# HLSPVER = 1.0
#HLSPTARG = Bootes I
#PROPOSID = 15317, 12549# DOI = 10.17909/g37r-1r51
# OBSERVAT = HST
# INSTRUME = F606W, F814W
# RADESYS = ICRS
# TIMESYS = UTC
# LICENSE = ‘CC BY 4.0’
# LICENURL = https://creativecommons.org/licenses/by/4.0/
###################################
# CATALOG DESCRIPTION:
# column name, unit, description
# ID - number, astrometric catalog ID
# pmx - mas/yr, weighted proper motion in X
# pmy - mas/yr, weighted proper motion in Y
# err_pmx - mas/yr, error of the weighted proper motion in X
# err_pmy - mas/yr, error of the weighted proper motion in Y
# m_astrom - mag, proxy stellar magnitude
# n1 - number, number of first-epoch datapoints
# n2 - number, number of second-epoch datapoints
# n_del - number, number of deleted datapoints
# max_res - pix, largest residual in either proper-motion fit
# X - pix, X-coordinate in ACS/WFC pixels aligned with RA
# Y - pix, y-coordinate in ACS/WFC pixels aligned with Dec
# RA - decimal deg, right ascension (J2000)
# DEC - decimal deg, declination (J2000)
# pointing - number, Pointing/field center to which source belongs (1, 3, 5)
###################################
# Notes: direction of X-axis is opposite to R.A.
# Formally, our celestial coordinates are on epoch 2016.0.
# Each pointing is treated as an independent field on the sky.
###################################
ID,pmx,pmy,err_pmx,err_pmy,mag_astrom,n1,n2,n_del,max_res,X,Y,RA,DEC,pointing
101020,-0.18,-0.04,0.17,0.37,25.37,7,9,0,0.217,1357.16,311.13,210.038656369,14.484450974,1
163021,1.51,-0.0,1.56,1.38,25.573,4,3,1,0.505,638.49,317.71,210.032564237,14.476396334,1
71020,-0.29,0.22,0.88,0.59,25.603,6,2,0,0.335,3710.49,317.96,210.058934834,14.510589021,1
149019,0.74,-0.6,1.92,0.6,25.723,4,8,1,0.497,1447.22,319.01,210.03951995,14.485387998,1
227014,0.19,1.14,0.9,0.63,24.839,3,4,0,0.2,3993.92,324.15,210.061439219,14.513692201,1
354006,0.6,0.27,1.0,1.45,25.842,5,5,3,0.664,636.25,327.58,210.032658439,14.476289468,1
135021,-2.78,3.14,1.38,0.93,25.967,4,2,1,0.351,1983.99,331.33,210.044268625,14.491260446,1
371014,-2.57,-1.14,2.09,1.31,25.87,2,6,0,0.383,649.09,332.29,210.032822709,14.476393191,1
159007,-2.14,0.81,0.75,1.02,25.696,7,4,0,0.568,3764.43,332.44,210.05956441,14.511069008,1
231007,0.33,0.6,0.46,0.47,25.557,7,7,0,0.162,1331.87,339.58,210.038766199,14.483932879,1
144024,4.95,-4.44,1.28,1.52,25.846,4,4,2,0.448,1294.26,343.44,210.038487901,14.483482163,1
121023,1.33,0.15,1.22,1.1,25.554,3,5,0,0.376,4023.58,352.59,210.062020711,14.513785988,1
203002,0.55,-0.64,1.24,0.84,26.398,2,7,0,0.286,1642.67,353.66,210.041595565,14.487275521,1
218005,-0.38,2.72,1.42,1.48,25.632,3,6,1,0.345,3702.95,354.62,210.059291582,14.510200286,1
301001,-0.67,0.57,1.57,1.13,26.651,2,10,0,0.284,1054.04,359.87,210.03661513,14.480671654,1
276014,-0.21,0.09,0.29,0.2,25.037,8,11,0,0.154,3361.22,363.94,210.056465002,14.506319098,1
207010,3.73,2.62,1.97,2.22,25.844,3,4,4,0.409,3225.9,368.74,210.055358559,14.504773049,1
169023,3.3,2.07,1.88,0.99,26.247,3,2,3,0.315,2674.17,383.53,210.050792611,14.498508837,1
127018,0.01,-0.1,0.13,0.17,24.771,7,8,0,0.066,2960.71,393.31,210.053364601,14.501617076,1
228022,-0.02,-0.29,0.62,0.65,25.952,4,8,0,0.205,675.76,396.26,210.033786812,14.476158359,1
257001,0.3,0.2,0.48,0.52,25.055,8,6,1,0.298,2575.27,397.38,210.05010282,14.497292959,1
283008,-0.62,-0.58,0.78,0.83,18.235,8,12,4,0.462,1930.32,397.44,210.044567691,14.490113496,1
121017,0.13,-0.33,0.11,0.15,23.972,8,8,0,0.072,1238.7,398.8,210.0386473,14.482403483,1
